Organization Name,Site Name,Status,IP/Hostname,VPN Compatibility,Policy/Schedule,Block Page,Site Key,Location,Description,External ID
Woodrow Mercer Recruitment,WMR-Engineering,protected,-,false, Baseline Policy (Woodrow),Synium Block Page,eb67f643f2e4a35a4aef1ab4,"55 Colmore Row, Birmingham B3 2AA, UK",-,""
RNA Automation Ltd,RNA-HQ,protected,84.51.161.192,false, Baseline Policy (General),Synium Block Page,5b80a632d4a667321827b029,"Birmingham B35 7AG, UK",-,""
Headstar Ltd,HS-HQ,protected,-,false, Baseline Policy (General),Synium Block Page,1e1a9d5ac6f70cc13b1e4515,"36 Park Cross St, Leeds LS1 2QH, UK",-,""
Environmental Instruments Ltd,The Mansley Centre,protected,-,false, Baseline Policy (General),Synium Block Page,49426c85b83b05b5ec78dd72,"Timothy's Bridge Rd, Stratford-upon-Avon CV37 9NQ, UK",-,EI-Mansley
Halo Expo Ltd,Leamington Spa,protected,-,false, Baseline Policy (General) - ALLOWED Parked & New Domains,Synium Block Page,5ff5a9702b72ccf04a20460d,"Royal Leamington Spa, Warwick CV34 6YB, UK",-,HEx-Leamington
PAYEback Ltd,PB-HQ,protected,-,false, Baseline Policy (General) - ALLOWED Parked & New Domains,-,02bb60b8e8e5bd8cef6d9e4c,"3 Woodview Dr, Birmingham B15 2JF, UK",-,""
St Anne's Hostel,StA-Residents,protected,149.107.124.220,false,St Anne's - Residents Policy,Synium Block Page,,"112 Moseley St, Birmingham B12 0RY, UK",-,""
Virdis Energy Limited,VE-HQ,protected,-,false, Baseline Policy (General),Synium Block Page,00c14a306a334e3ec41358c7,"201 High St, Henley-in-Arden B95 5BA, UK",-,""
Henley Executive Ltd,Henley Executive HQ,protected,-,false, Baseline Policy (General) - ALLOWED Parked & New Domains,Synium Block Page,b657c307d0a8f78c02b9e506,"Prince Harry Rd, Henley-in-Arden B95 5DD, UK",-,""
Opal Contracts Ltd,OC-HQ,protected,-,false, Baseline Policy (General),Synium Block Page,efe6ed1712323a66a8581eea,"enterprise centre, 1 Hedingham Grove, Birmingham B37 7TW, UK",-,""
Environmental Services Group,ESG-HQ,protected,-,false, Baseline Policy (General),Synium Block Page,b0e283ef875b51fd67eeeee0,"Henley court, Prince Harry Rd, Henley-in-Arden B95 5BA, UK",-,""
Peppermill Interiors Ltd,PMI-HQ,protected,-,false, Baseline Policy (PMI),Synium Block Page,81b3b2ed598de0175046f003,"Unit 6, Burntwood Business Park, 6 Ring Rd, Burntwood WS7 3JQ, UK",-,""
Renewable Risk Advisers,RR-All Sites,protected,-,true, Baseline Policy (General) - ALLOWED Parked & New Domains,Synium Block Page,8e00e9ecb72a6d475f6ead4b,"2 Old Bath Rd, Newbury RG14 1QL, UK",-,""
Spring Housing Association,SH-Staff-Hestia,protected,-,false, Baseline Policy (General),Synium Block Page,d01dd5d4507b5de589758969,"Hestia House, 22 Old Walsall Road, Birmingham, B42 1DT","",""
Spring Housing Association,SH-Staff-OtherSites,protected,-,false, Baseline Policy (General),Synium Block Page,fecb4e791ad203caa38d8842,"Hestia House, 22 Old Walsall Road, Birmingham, B42 1DT","",""
Lench's Trust,LT-WilliamLenchCourtHQ,protected,-,false, Baseline Policy (General),Synium Block Page,dea55ead59d100983c1ce7ad,"Quinton, Birmingham B32 2AQ, UK","",""
Lench's Trust,LT-LenchsClose,protected,-,false, Baseline Policy (General),Synium Block Page,8d6cc02e9941a14e94d802ca,"Lench's Close, Moseley, Birmingham B13 9EY, UK","",""
Lench's Trust,LT-TannersClose,protected,-,false, Baseline Policy (General),Synium Block Page,e90278f793f5664e17419566,"Tanners Close, The Royal Town of Sutton Coldfield, Birmingham, Sutton Coldfield B75 6DR, UK","",""
Hope Projects (West Midlands) Limited,Hope Projects,protected,-,false, Baseline Policy (General),Synium Block Page,ae9d2796ea1a27120d3d07bb,"Edward Road, Balsall Heath, Birmingham B12 9LX, UK","",""
Davy Engineering Ltd,Davy HQ,protected,-,false, Baseline Policy (General),Synium Block Page,7311d014b9a30d183c5bb064,"Stirling Rd, Shirley, Solihull B90 4NE, UK","",""
Bryans Salads Ltd,Bryans Salads HQ,protected,2 IP Addresses,false,BryansSalads-Policy,Synium Block Page,8d1011b77e82c5de6435b32a,-,"",""
Caterfish,CaterFish-HQ,protected,5.151.157.92,false,Caterfish Baseline Policy,Synium Block Page,b42f387568ea2cef359f79d1,-,"",""
John Earle & Son LLP,Henley-in-Arden,protected,51.219.37.1,false, Baseline Policy John Earle,Synium Block Page,3a6bc92620515632c4288cfc,74 High Street Henley-in-Arden Warwickshire B95 5BX,"",""
John Earle & Son LLP,Alcester,protected,157.231.48.237,false, Baseline Policy John Earle,Synium Block Page,8313dd4de3e92bf5f50a14a7,21 High Street Alcester Warwickshire B49 5AE,"",""
Writing West Midlands Ltd,WWM-HQ,protected,-,false, Baseline Policy (General),Synium Block Page,c40469f297740a2411c7af8a,"Studio 130 Zellig, Gibb Street Birmingham West Midlands B9 4AT","",""
Solihull Blinds Ltd,Solihull Blinds HQ,protected,-,false, Baseline Policy (General),Synium Block Page,27235a03890951199515d3dd,-,"",""
"Energize Shropshire, Telford & Wrekin",ENGZ-HQ,protected,-,false, Baseline Policy (General),Synium Block Page,3222bbaf7f0fe0f82afc16f9, 2 The Mount Shrewsbury United Kingdom SY3 8PU,"",""
St Peter's (Saltley) Housing Association Ltd,StP-HQ,protected,-,false, Baseline Policy (General),Synium Block Page,3b983ac35ade4f487da677f6,Bridge Road Saltley Birmingham B3 3TE,"",""
